A (Shape),w (Loss Aversion),a (Learning Rate),c (Consistency),Pattern
0.7922502083317979,0.6533881526375257,0.5122952225703115,3.40332543426344,GOB
0.9672739171072166,0.1671236335843744,0.629583189063822,2.6499257435388426,GOB
0.2892911995208003,4.808906695206031,0.8485788446961119,2.0771827517179746,GOB
0.6020567015882626,2.819467251138719,0.9347020572124266,1.7832611910137364,GOB
0.4041549265891821,1.797316309631,0.939699825085944,3.2545425612706684,GOB
0.5777624790512687,1.8718358934521184,0.9641549031352192,3.448150145026715,GOB
0.2634196054685422,3.181603003064882,0.979557278810922,1.5937606006269496,GOB
0.3463337165709812,1.2749489443743456,0.8106501111500923,2.1336931414383904,GOB
0.7211939031270866,1.3529242646307662,0.3834160153667363,0.2957292066538413,GOB
0.986297009932778,2.445816532574354,0.5288799630961188,4.371562340331524,GOB
0.4311456711798803,3.7583761537697433,0.3579131726163793,2.427154769403613,GOB
0.054251382863549,0.5614054769975059,0.8247040473561199,0.8149555356338939,GOB
0.1300314449347697,3.501162478701197,0.8092744509884039,4.996963985699149,GOB
0.2109219883951004,4.4266690963262505,0.1110427148451835,2.417946203630287,GOB
0.120982044574626,0.1027211089929701,0.8546583832806102,3.754036151933971,GOB
0.1764149855272813,3.7802938468964657,0.1683906199440389,4.450962071039105,GOB
0.0330041437417782,1.7607698639141898,0.8886867122489873,4.259452779054124,GOB
0.9296880953654229,2.495399091011945,0.3101201554960696,2.0762899263736703,GOB
0.1238211279183813,4.802546263537577,0.7677450612042035,1.3115383372795764,GOB
0.5339834144208875,4.616605582000867,0.0474669583971492,3.0750022194412923,GOB
0.8257096558302166,3.1887110439064594,0.3516580174288009,1.3277557823945756,GOB
0.3958143084986997,4.39171327778019,0.8905429944495276,0.8333839758763182,GOB
0.4660337557225962,0.9764624675489753,0.9845131615723454,3.8019868019583978,GOB
0.553645108144396,0.4610180478237058,0.3054100927155203,4.120416214301904,GOB
0.2151242312387321,2.779069740816356,0.8072024137024716,0.1161872011890574,GOB
0.0276737610834814,3.705942784878776,0.6911417761474906,1.928472566719949,BOG
0.2489610467843341,3.420022568775867,0.8499767671054679,3.3760814019514305,GOB
0.0865255560450867,1.6487242090730234,0.2931392064942628,1.9341274533577064,BOG
0.1246433692527777,3.604212530443534,0.6509008718248473,0.5400404924046455,GOB
0.2608896847005747,2.2779188719877146,0.9422588851780876,3.459813359182882,GOB
0.2471939971001183,4.591224621526328,0.0715196384717458,3.0781877061954326,GOB
0.7792624234549852,4.577827875777173,0.9539460486726123,4.555691116220719,GOB
0.064474970077415,2.096564842822451,0.7638630675136194,4.448551566241591,GOB
0.3467195590329883,1.0143097344779275,0.2775522976123263,2.9415581960802712,GOB
0.4719818323970374,3.666688549758159,0.2492989840671956,2.9146644461142186,GOB
0.3006615309641676,2.994223563500802,0.7573469944467248,3.1532928544925003,GOB
0.4841913737513083,0.293542122891168,0.278805788566472,1.5921467835649872,BOG
0.4013563206374829,2.356336373469718,0.8591866685311593,2.555698857091086,GOB
0.7971195283070692,0.3204652424213464,0.2131059948133103,4.533465138713601,GOB
0.0730167680088965,4.561999390997657,0.2950449475663826,0.7789420145521242,GOB
0.8367011401507171,4.0761203262953005,0.1805209738942548,3.594639892778813,GOB
0.5012172862108326,2.2755558346557034,0.8218266166372145,3.660885498759053,GOB
0.4610242272295222,3.729342011427653,0.0936067671277086,1.9989909061856077,GOB
0.8707101135225259,2.8379556096090046,0.5719795761183292,1.085452750166741,GOB
0.9236918632821464,1.1014935057763775,0.0271054692564781,2.202026172604999,GOB
0.2534589902844303,4.747903428793644,0.982013594004782,1.738064754383136,GOB
0.4240148433970846,1.9617115484290828,0.1421859668174465,4.59767515352436,GOB
0.8983937514428902,4.132054807050753,0.8429187834046666,2.495065011404928,GOB
0.221217767844419,0.1834714773385385,0.1007328060965259,2.250628726020186,BOG
0.9567809335553396,0.3351463160745578,0.3214172183052955,2.8527810317232363,BOG
0.829627253505033,2.724301079039825,0.1454230557228361,4.291937471642354,GOB
0.2894720561337023,4.905536785837649,0.3257118897017875,3.8521895293101194,GOB
0.5619740176144711,2.762189815598324,0.1939885688965837,1.6039690325350862,GOB
0.3295826556026001,3.4571074005289657,0.1212794913967453,1.0828969068654977,GOB
0.7584257792161805,1.7423904820511442,0.4275217156277577,4.762922207542443,GOB
0.6423927983780363,3.0929758946361137,0.6020958822765426,0.1102567203265023,GOB
0.4600212683579732,0.6148985261047177,0.1083742582190535,1.946267770708521,GOB
0.988004322883708,1.9675204096723284,0.912425385493144,1.351939489868186,GOB
0.6134238387170435,2.487275505058199,0.0835030741084404,2.150503600099541,GOB
0.948729575306366,4.553773585973231,0.0490265678276801,0.7134898051456416,GOB
0.3857516211173921,2.393377214421004,0.5586224605696755,0.3115514161871327,GOB
0.9080389278586112,0.0177392315449228,0.9949093714501356,0.0470743680198966,BOG
0.1371408341223086,2.2511693564985547,0.870600891621931,3.074610090408942,GOB
0.050739530292693,1.409035068445274,0.8287418762358603,4.760591787149052,BOG
0.0854820829747611,4.561361373801755,0.9076348596327288,4.179115313825149,GOB
0.2841982414325989,2.757060306041472,0.0551179125430873,2.323238587474837,GOB
0.2497874545562625,3.8568089333019326,0.1262352653060687,4.656524750276045,GOB
0.969200225522696,1.4279506981811552,0.3120978694479869,3.8081806665561713,GOB
0.7105004472444734,2.571948985289186,0.5912643364676865,1.105197087046509,GOB
0.7961659272018661,1.5714703496572453,0.8636706865539135,2.7133951355332737,GOB
0.4665902564280931,4.9991833287470335,0.8650151603027192,0.4207081782215801,GOB
0.799989730329819,4.907265175473444,0.9751824053606584,1.3230659544257195,GOB
0.5471062040719915,2.822569131883565,0.1457047036684923,2.6828926630924244,GOB
0.5664953113800545,2.693410469298141,0.3709690909034135,3.0764168863762853,GOB
0.8113774752974457,1.8103896958449583,0.1691933130373146,4.107507665406808,GOB
0.147597711504905,3.627292654482546,0.842762452048678,0.5696511459926241,GOB
0.2159928080030199,3.887835858463213,0.9210134732148694,4.784113481818381,GOB
0.37199821633458,0.6791978227687054,0.3773573296423764,4.745909504033997,GOB
0.4059063887733937,0.7994678390275649,0.1198221426987345,1.1854671189697532,GOB
0.7301897373759458,2.5949736844538145,0.1961120297594919,2.300959266576954,GOB
0.4541352874374419,4.913557649157853,0.5230055870388539,3.673127649016026,GOB
